MEAN_X,MEAN_Y,name
113.997461799999996,22.433651133333331,洪水橋,Hung Shui Kiu
114.001652966666668,22.462780400000000,天悅,Tin Yuet
113.966532537499987,22.372654824999994,屯門碼頭,Tuen Mun Ferry Pier
113.999448200000003,22.455903966666668,天瑞,Tin Shui
114.001146800000015,22.453110766666668,樂湖,Locwood
113.963394166666674,22.381851633333337,輕鐵車廠,Light Rail Depot
113.970212599999996,22.404369899999999,大興(北),Tai Hing (North)
113.967463899999998,22.394360800000001,青雲,Tsing Wun
113.975061666666662,22.384570333333333,兆麟,Siu Lun
113.999587899999995,22.459686899999998,翠湖,Chestwood
113.992523599999998,22.429661150000001,鍾屋村輕鐵站,Chung Uk Tsuen Light Rail Stop
113.978034633333323,22.400225799999998,新墟,San Hui
113.977484966666665,22.397397600000001,何福堂,Hoh Fuk Tong
114.005714566666668,22.454951333333334,天湖,Tin Wu
113.973577300000002,22.396547900000002,輕鐵河田站,Light Rail Ho Tin Stop
113.972571000000002,22.407323999999999,青松,Ching Chung
113.972937999999999,22.394020999999999,輕鐵屯門站,Light Rail Tuen Mun Stop
114.002566766666675,22.469539666666670,濕地公園,Wetland Park
113.977125666666666,22.407815466666666,屯門醫院,Tuen Mun Hospital
114.026975499999978,22.444506333333337,康樂路,Hong Lok Road
114.007371933333332,22.440244633333332,塘坊村,Tong Fong Tsuen
113.976504374999990,22.382487674999997,三聖,Sam Shing
114.002828333333341,22.459532166666666,天榮,Tin Wing
113.973038533333337,22.393842666666668,屯門,Tuen Mun
113.978268914285692,22.412004828571430,兆康,Siu Hong
113.973572899999994,22.386684799999998,友愛,Yau Oi
113.978806366666660,22.406767100000000,鳳地,Fung Tei
113.967311600000002,22.397111333333331,鳴琴,Ming Kum
113.999263950000000,22.435544049999997,洪天路緊急月台,Hung Tin Road Emergency Platform
114.002775333333332,22.450371133333334,天耀,Tin Yiu
114.023872766666670,22.444530466666667,豐年路,Fung Nin Road
113.969217999999998,22.406733766666665,建生,Kin Sang
113.967159566666666,22.390662199999998,青山村,Tsing Shan Tsuen
113.979528833333333,22.403114066666664,景峰,Prime View
113.970379966666670,22.381208333333333,屯門泳池,Tuen Mun Swimming Pool
113.963577000000001,22.382158400000002,輕鐵車廠站,Light Rail Depot Stop
113.961190766666675,22.375082199999994,美樂,Melody Garden
114.029591949999997,22.444474650000000,大棠路,Tai Tong Road
113.966915566666671,22.375164833333333,兆禧,Siu Hei
113.961743366666667,22.378147833333333,蝴蝶,Butterfly
114.005623833333345,22.445130200000005,坑尾村,Hang Mei Tsuen
113.975859299999982,22.403520733333330,澤豐,Affluence
113.973051066666656,22.397097299999999,河田,Ho Tin
113.981867266666669,22.418695266666663,藍地,Lam Tei
114.005642300000005,22.449167449999997,輕鐵天水圍站,Light Rail Tin Shui Wai Stop
113.963676799999988,22.406653766666665,良景,Leung King
114.004971533333332,22.457508600000001,銀座,Ginza
114.002947700000007,22.465513933333330,天秀,Tin Sau
113.968956166666658,22.395158633333335,建安,Kin On
113.972055866666679,22.402725233333332,大興(南),Tai Hing (South)
113.973044800000011,22.383304633333335,豐景園,Goodview Garden
113.997718233333330,22.464561266666664,天富,Tin Fu
113.964486166666674,22.405242800000000,新圍,San Wai
113.966748499999994,22.398487600000003,山景(北),Shan King (North)
113.974645633333338,22.402488566666666,銀圍,Ngan Wai
113.976817633333326,22.394643466666665,杯渡,Pui To
113.978720949999996,22.411900850000006,輕鐵兆康站,Light Rail Siu Hong Stop
114.020204533333342,22.444473666666667,水邊圍,Shui Pin Wai
114.006088900000023,22.452708633333334,天慈,Tin Tsz
113.965036933333337,22.385262900000001,龍門,Lung Mun
113.974971980000007,22.391344480000004,市中心,Town Centre
113.999116049999998,22.466909900000005,天逸,Tin Yat
113.974375699999996,22.400046466666662,蔡意橋,Choy Yee Bridge
114.000822866666667,22.469727933333331,天恒,Tin Heng
114.012065000000007,22.442891366666668,屏山,Ping Shan
113.976418533333344,22.410672433333335,麒麟,Kei Lun
113.986592900000005,22.423839566666668,泥圍,Nai Wai
113.992220633333332,22.429689766666662,鍾屋村,Chung Uk Tsuen
113.997041333333343,22.461990866666667,頌富,Chung Fu
113.966133350000007,22.396593050000000,山景(南),Shan King (South)
113.966459025000006,22.407752575000004,田景,Tin King
113.975101799999990,22.387584366666669,安定,On Ting
113.967760233333323,22.401394100000001,石排,Shek Pai
114.006014500000006,22.449407075000000,天水圍,Tin Shui Wai
114.0348489,22.4456351,元朗,Yuen Long
