"ROUTE_ID","FARE_OCTO_ADULT","FARE_OCTO_CHILD","FARE_OCTO_ELDERLY","FARE_OCTO_PWD","FARE_OCTO_STUDENT","FARE_SINGLE_ADULT","FARE_SINGLE_CHILD","FARE_SINGLE_ELDERLY"
"K12",4.30,2.10,2.00,2.00,4.30,4.30,2.10,2.10
"K14",4.30,2.10,2.00,2.00,4.30,4.30,2.10,2.10
"K17",4.30,2.10,2.00,2.00,4.30,4.30,2.10,2.10
"K18",4.30,2.10,2.00,2.00,4.30,4.30,2.10,2.10
"506",4.80,2.10,2.00,2.00,2.10,4.80,2.10,2.10
"K51",4.80,2.10,2.00,2.00,2.10,4.80,2.10,2.10
"K52",4.80,2.10,2.00,2.00,2.10,4.80,2.10,2.10
"K53",4.80,2.10,2.00,2.00,2.10,4.80,2.10,2.10
"K58",4.80,2.10,2.00,2.00,2.10,4.80,2.10,2.10
"K65",4.80,2.10,2.00,2.00,2.10,4.80,2.10,2.10
"K66",4.80,2.10,2.00,2.00,2.10,4.80,2.10,2.10
"K68",4.80,2.10,2.00,2.00,2.10,4.80,2.10,2.10
"K73",4.80,2.10,2.00,2.00,2.10,4.80,2.10,2.10
"K74",4.80,2.10,2.00,2.00,2.10,4.80,2.10,2.10
"K75",4.80,2.10,2.00,2.00,2.10,4.80,2.10,2.10
"K75A",4.80,2.10,2.00,2.00,2.10,4.80,2.10,2.10
"K75P",4.80,2.10,2.00,2.00,2.10,4.80,2.10,2.10
"K76",4.80,2.10,2.00,2.00,2.10,4.80,2.10,2.10
